"","Isocode","Country","Year","PopMale","PopFemale","PopTotal","GrowthRate","PopDensity","GDP","CO2","TFR","LEx","LExMale","LExFemale","CO2.norm","GDP.norm","PopTotal.norm","TFR.norm","Tech"
"4","AFG","Afghanistan",1960,4459.543,4314.897,8774.44,2.0206,13.456,739.410648612079,0.0128783147414536,7.671,31.575,31.282,31.893,0.206956158557174,1.22409044856116,0.747958029503052,0.997918563809028,0.17416999289403
"68","AFG","Afghanistan",1961,4549.481,4404.063,8953.544,2.0806,13.731,729.926789269011,0.0149661407817955,7.671,32.091,31.775,32.433,0.240507789008785,1.2083899691873,0.76322535994421,0.997918563809028,0.205036189955206
"164","AFG","Afghanistan",1962,4644.11,4497.673,9141.783,2.1398,14.019,726.301715881716,0.0205649160563098,7.671,32.608,32.267,32.974,0.330480820938862,1.20238867921799,0.779271383566872,0.997918563809028,0.283145635025031
"233","AFG","Afghanistan",1963,4743.604,4595.903,9339.507,2.1987,14.322,723.189125003059,0.0206649023337099,7.671,33.124,32.76,33.513,0.332087613154659,1.19723580135236,0.796125935358833,0.997918563809028,0.285746862324879
"319","AFG","Afghanistan",1964,4848.166,4698.965,9547.131,2.2565,14.641,720.483961204252,0.0239862635172807,7.671,33.639,33.251,34.051,0.385462310506958,1.19275741687936,0.813824391091341,0.997918563809028,0.332918771393453
"341","AFG","Afghanistan",1965,4957.974,4807.041,9765.015,2.2791,14.975,719.592903544636,0.0281617590961202,7.671,34.152,33.741,34.587,0.452563056405605,1.19128227559988,0.832397438180414,0.997918563809028,0.391356820744041
"389","AFG","Afghanistan",1966,5071.537,4918.588,9990.125,2.2936,15.32,709.711423681293,0.029829456588381,7.671,34.662,34.228,35.12,0.479363167566328,1.17492353754131,0.851586449903262,0.997918563809028,0.420304022072165
"509","AFG","Afghanistan",1967,5188.586,5033.316,10221.902,2.3577,15.676,711.910574186126,0.0342402030463606,7.671,35.17,34.713,35.65,0.550244425063075,1.17856421966154,0.871343775522234,0.997918563809028,0.480962136087175
"514","AFG","Afghanistan",1968,5311.794,5153.976,10465.77,2.4858,16.05,719.473130536848,0.0319135620217146,7.671,35.674,35.193,36.175,0.512855007389321,1.19108399201403,0.892131772105361,0.997918563809028,0.443568504051037
"630","AFG","Afghanistan",1969,5444.84,5284.351,10729.191,2.6346,16.454,713.122610894897,0.0239533437329991,7.671,36.172,35.669,36.696,0.384933285379661,1.18057074007249,0.914586521592476,0.997918563809028,0.33589376310674
"688","AFG","Afghanistan",1970,5589.427,5426.194,11015.621,2.7561,16.893,709.457603211038,0.0413957597125028,7.671,36.663,36.137,37.208,0.665235132286295,1.17450333908478,0.93900262317737,0.997918563809028,0.583484615925514
"732","AFG","Afghanistan",1971,5744.702,5578.744,11323.446,2.7948,17.365,658.698439179615,0.0456574791808077,7.671,37.143,36.596,37.71,0.733721507073338,1.09047180940037,0.965242494944888,0.997918563809028,0.693146916177187
"791","AFG","Afghanistan",1972,5906.569,5737.808,11644.377,2.7275,17.857,629.995427945802,0.0358971544806562,7.671,37.614,37.044,38.202,0.576871845703278,1.042954124928,0.992599559141172,0.997918563809028,0.569800238038305
"855","AFG","Afghanistan",1973,6069.184,5897.168,11966.352,2.5351,18.351,684.061850635792,0.0373547426985267,7.671,38.075,37.483,38.685,0.600295474057202,1.13246080396612,1.02004561684391,0.997918563809028,0.546072590713951
"932","AFG","Afghanistan",1974,6224.908,6048.681,12273.589,2.2414,18.822,702.871520604446,0.0426118228335656,7.671,38.529,37.915,39.162,0.684777421564884,1.16360011389145,1.04623536583193,0.997918563809028,0.606253370415704
"980","AFG","Afghanistan",1975,6366.757,6185.033,12551.79,2.0114,19.249,720.633053210585,0.0462085487408569,7.671,38.977,38.341,39.631,0.742577265108081,1.19300423791345,1.06995000423231,0.997918563809028,0.641221611123542
"1028","AFG","Afghanistan",1976,6497.738,6309.072,12806.81,1.762,19.64,737.447616152654,0.0423212337810899,7.67,39.417,38.76,40.094,0.68010761847135,1.22084065862602,1.09168862876947,0.997788474047092,0.573888000369226
"1128","AFG","Afghanistan",1977,6615.667,6418.793,13034.46,1.259,19.989,669.270902636036,0.0500212513598569,7.67,39.855,39.176,40.553,0.803847881923279,1.1079744671712,1.1110941572609,0.997788474047092,0.74739916471551
"1185","AFG","Afghanistan",1978,6702.758,6496.839,13199.597,0.4349,20.242,704.158892615834,0.0446225744619324,7.67,40.298,39.598,41.018,0.717090456396987,1.16573135150054,1.12517090120331,0.997788474047092,0.633700361237602
"1218","AFG","Afghanistan",1979,6736.161,6520.967,13257.128,-0.5802,20.33,688.818929142743,0.046088413719774,7.669,40.756,40.035,41.497,0.740646680014406,1.14033612247059,1.13007500601175,0.997658384285157,0.669093309864938
"1335","AFG","Afghanistan",1980,6702.34,6478.091,13180.431,-1.6573,20.213,689.974668725143,0.0364176254934304,7.669,41.242,40.5,42.004,0.58523588118514,1.14224944328426,1.12353713727155,0.997658384285157,0.527811050813195
"1346","AFG","Afghanistan",1981,6598.381,6365.407,12963.788,-2.5729,19.88,763.557562879476,0.0417316296749067,7.67,41.77,41.006,42.553,0.670632605371039,1.26406553841472,1.10506987652492,0.997788474047092,0.546542025168755
"1410","AFG","Afghanistan",1982,6437.987,6196.507,12634.494,-3.1564,19.375,832.646577159618,0.0453520338843803,7.671,42.347,41.56,43.15,0.728812962246857,1.37844203899606,1.07699992660593,0.997918563809028,0.544673275894418
"1506","AFG","Afghanistan",1983,6245.866,5996.062,12241.928,-3.2184,18.773,862.547687708104,0.0562002978615787,7.673,42.977,42.165,43.801,0.903145946399543,1.42794317059658,1.04353649283581,0.9981787433329,0.651561631460746
"1555","AFG","Afghanistan",1984,6056.13,5798.075,11854.205,-2.7819,18.179,846.745047351916,0.0651245697201963,7.676,43.661,42.824,44.506,1.04656013209531,1.40178198241466,1.01048589005398,0.998569012618707,0.769116629897805
"1639","AFG","Afghanistan",1985,5897.654,5631.323,11528.977,-2.339,17.68,818.950421427147,0.0830082322134913,7.679,44.4,43.536,45.266,1.33395286669217,1.35576812505447,0.982762537450369,0.998959281904514,1.01359288720844
"1704","AFG","Afghanistan",1986,5768.412,5494.027,11262.439,-1.7857,17.271,877.663989145575,0.0760936418834322,7.681,45.192,44.301,46.08,1.22283451918826,1.45296812830028,0.960042086086215,0.999219461428386,0.867001982814756
"1767","AFG","Afghanistan",1987,5672.646,5390.461,11063.107,-0.4508,16.966,725.701702132477,0.0770127234600551,7.682,46.024,45.106,46.933,1.23760427721306,1.20139535960482,0.943050463836031,0.999349551190321,1.0612173463801
"1847","AFG","Afghanistan",1988,5651.822,5361.523,11013.345,1.8173,16.889,655.561710819993,0.0710047673980975,7.682,46.88,45.936,47.81,1.14105565790026,1.08527897206167,0.938808610513867,0.999349551190321,1.08311340070919
"1883","AFG","Afghanistan",1989,5757.41,5457.913,11215.323,4.497,17.199,639.752235894097,0.067496941461249,7.682,47.744,46.775,48.695,1.08468444820769,1.05910646928546,0.956025785271796,0.999349551190321,1.05504815261673
"1936","AFG","Afghanistan",1990,6020.701,5710.492,11731.193,7.2401,17.99,604.049030430069,0.0622272602624473,7.687,48.601,47.609,49.573,1,1,1,1,1.03016902813573
"2006","AFG","Afghanistan",1991,6467.621,6144.422,12612.043,9.0877,19.341,600.593210190208,0.0539167207089288,7.7,49.439,48.427,50.431,0.866448570634986,0.994278907728069,1.07508614000298,1.00169116690516,0.897724446332873
"2071","AFG","Afghanistan",1992,7074.96,6736.916,13811.876,9.4142,21.181,552.827777509157,0.028164168285322,7.725,50.247,49.218,51.258,0.452601772383002,0.915203484583952,1.17736329118445,1.00494341095356,0.509456460603691
"2137","AFG","Afghanistan",1993,7763.958,7411.367,15175.325,8.2781,23.272,475.789157635463,0.024711167635619,7.758,51.017,49.975,52.046,0.397111612039452,0.787666453659751,1.29358753197565,1.00923637309744,0.519372231145965
"2192","AFG","Afghanistan",1994,8424.452,8060.566,16485.018,6.4655,25.28,426.066099891722,0.0218380107319264,7.796,51.738,50.685,52.785,0.350939614564794,0.705350192497408,1.40522945961251,1.014179784051,0.512549830589108
"2248","AFG","Afghanistan",1995,8978.073,8608,17586.073,4.6075,26.969,512.415786620489,0.0196746596013789,7.832,52.4,51.338,53.464,0.316174286291889,0.84830164573836,1.49908649529507,1.01886301548068,0.383958888759814
"2341","AFG","Afghanistan",1996,9392.389,9022.918,18415.307,3.2373,28.24,526.06866916918,0.0177569670709264,7.859,52.995,51.924,54.074,0.285356723018742,0.870903921151287,1.56977274178338,1.02237543905295,0.337540859427533
"2376","AFG","Afghanistan",1997,9692.274,9328.952,19021.226,2.4697,29.17,540.908603182151,0.0159821454200691,7.869,53.527,52.448,54.622,0.256835112982051,0.895471354034021,1.62142298741483,1.0236763366723,0.295468501074795
"2495","AFG","Afghanistan",1998,9926.517,9570.319,19496.836,2.4833,29.899,556.195323717113,0.0147716275604924,7.854,54.009,52.92,55.118,0.237381936761994,0.920778439659302,1.66196532611815,1.02172499024327,0.265583454779375
"2507","AFG","Afghanistan",1999,10170.774,9816.297,19987.071,2.998,30.651,571.256317313346,0.011357341953706,7.809,54.449,53.348,55.572,0.182513932090304,0.945711835522068,1.70375434109728,1.01587095095616,0.198813415440555
"2595","AFG","Afghanistan",2000,10478.861,10116.499,20595.36,3.5882,31.584,565.230901509813,0.0103421353159158,7.733,54.863,53.751,56.001,0.166199432086472,0.935736791278981,1.75560661221753,1.00598412904904,0.182971866688295
"2679","AFG","Afghanistan",2001,10865.003,10482.779,21347.782,3.9271,32.737,506.596294633771,0.00824441621148277,7.623,55.271,54.145,56.423,0.132488818834566,0.838667507293384,1.81974518704108,0.991674255236113,0.162741344514626
"2749","AFG","Afghanistan",2002,11307.25,10895.556,22202.806,4.0312,34.049,618.717327033503,0.00441385651885622,7.484,55.687,54.547,56.853,0.0709312365712472,1.02428328805195,1.89262984591593,0.973591778327046,0.0713388218820194
"2809","AFG","Afghanistan",2003,11780.314,11335.828,23116.142,3.8301,35.449,668.431634628351,0.0068783104031806,7.321,56.122,54.97,57.302,0.110535324457013,1.10658506338872,1.97048518424341,0.952387147131521,0.102902227346032
"2845","AFG","Afghanistan",2004,12245.179,11773.503,24018.682,3.4463,36.833,685.109815896421,0.00832685157328783,7.136,56.583,55.419,57.778,0.133813565600813,1.13419570495567,2.04742024106159,0.92832054117341,0.121540392212783
"2914","AFG","Afghanistan",2005,12673.953,12186.902,24860.855,3.0519,38.125,757.793773641587,0.011142014222761,6.93,57.071,55.896,58.279,0.179053588021856,1.25452361557812,2.11920944442735,0.901522050214648,0.147032274615005
"2986","AFG","Afghanistan",2006,13059.767,12571.515,25631.282,2.7626,39.306,790.160104661761,0.014240411384807,6.702,57.582,56.397,58.803,0.228845225143245,1.30810590673275,2.184882816266,0.8718615844933,0.180221847455875
"3038","AFG","Afghanistan",2007,13413.54,12935.703,26349.243,2.5589,40.407,862.623594293407,0.0206078026605926,6.456,58.102,56.906,59.336,0.331170014133322,1.42806883355022,2.24608383819105,0.839859503057109,0.238896811968989
"3116","AFG","Afghanistan",2008,13746.349,13285.848,27032.197,2.4699,41.455,868.858003219219,0.0396194212405303,6.196,58.618,57.411,59.863,0.636689146741042,1.4383898648105,2.30430076463664,0.806036164953818,0.455994202662988
"3197","AFG","Afghanistan",2009,14075.728,13632.459,27708.187,2.4584,42.491,NA,0.0642048503570443,5.928,59.124,57.906,60.379,1.03178012475973,NA,2.36192406006789,0.771172108755041,NA
"3234","AFG","Afghanistan",2010,14414.542,13983.27,28397.812,2.4614,43.549,NA,0.0790906003603376,5.659,59.612,58.384,60.877,1.27099602371642,NA,2.42070964138089,0.736177962794328,NA
"3307","AGO","Angola",1960,2433.733,2532.255,4965.988,1.8099,3.983,1252.98498502505,0.0302054696869988,7.316,32.998,31.538,34.504,0.258392890473655,1.44342234887651,0.480555735116574,1.02107466852756,0.241068089785569
"3392","AGO","Angola",1961,2478.342,2578.346,5056.688,1.83,4.056,1396.11054333845,0.0245219796040412,7.354,33.399,31.935,34.91,0.209773436919987,1.60830112398878,0.489332720718447,1.02637822749477,0.175644971102382
"3421","AGO","Angola",1962,2524.318,2625.758,5150.076,1.8267,4.131,1335.26315189654,0.0625233491699928,7.385,33.801,32.331,35.317,0.534856404536619,1.5382057232236,0.498369822497804,1.03070481507327,0.468247394389545
"3514","AGO","Angola",1963,2571.104,2673.911,5245.015,1.7928,4.207,1380.4007085149,0.0598663683516634,7.41,34.203,32.727,35.723,0.51212724453032,1.59020359931572,0.507557013634036,1.03419399860433,0.433688333991587
"3561","AGO","Angola",1964,2617.91,2721.983,5339.893,1.7441,4.283,1509.53712303354,0.0625480697834208,7.425,34.604,33.124,36.13,0.5350678771879,1.73896706336175,0.51673830183618,1.03628750872296,0.414352643794047
"3624","AGO","Angola",1965,2664.31,2769.531,5433.841,1.6936,4.359,1595.77223574429,0.0596263306195378,7.43,35.007,33.521,36.537,0.510073840161198,1.83830878766987,0.525829594485847,1.03698534542917,0.373651886428062
"3694","AGO","Angola",1966,2710.206,2816.447,5526.653,1.6686,4.433,1660.17784186494,0.0767191281956729,7.422,35.41,33.919,36.945,0.65629429022358,1.91250320530339,0.534810957084314,1.03586880669923,0.462113914913426
"3761","AGO","Angola",1967,2756.242,2863.401,5619.643,1.6891,4.508,1727.30891788022,0.048223703890087,7.403,35.816,34.319,37.355,0.412529994290026,1.9898373286829,0.543809544637988,1.03321702721563,0.279184015035758
"3801","AGO","Angola",1968,2803.664,2911.708,5715.372,1.7674,4.584,1672.21642409218,0.0797848329032651,7.375,36.222,34.72,37.766,0.682519881447358,1.92637149490244,0.55307318360912,1.02930914166085,0.477120256408073
"3877","AGO","Angola",1969,2854.15,2963.133,5817.283,1.8868,4.666,1691.44868970753,0.130645182639387,7.339,36.627,35.12,38.175,1.11760508008852,1.94852681387315,0.562935051080702,1.02428471737613,0.772386318511245
"3967","AGO","Angola",1970,2909.025,3019.062,5928.087,2.0227,4.755,1767.68839019942,0.164808647376464,7.301,37.032,35.52,38.585,1.40985666542996,2.03635395376456,0.573657488926676,1.01898115840893,0.932339932140819
"3973","AGO","Angola",1971,2968.988,3080.226,6049.214,2.153,4.852,1728.32857954614,0.153738981626373,7.264,37.439,35.922,38.995,1.31516113646176,1.99101196561348,0.585378877405155,1.01381716678297,0.889524037534261
"4053","AGO","Angola",1972,3034.145,3146.718,6180.863,2.2745,4.958,1711.72809391757,0.19883954716356,7.232,37.846,36.324,39.405,1.70097422302886,1.97188842283775,0.598118473628981,1.00935101186322,1.16163044744146
"4118","AGO","Angola",1973,3104.526,3218.531,6323.057,2.3797,5.072,1789.47069733436,0.210499446707502,7.208,38.247,36.72,39.809,1.8007189108954,2.06144688728287,0.611878503294611,1.00600139567341,1.17632240092597
"4193","AGO","Angola",1974,3179.927,3295.406,6475.333,2.4755,5.194,1710.56595983761,0.205240410029878,7.192,38.635,37.105,40.198,1.7557304468086,1.97054965954572,0.626614162164631,1.00376831821354,1.19983920438451
"4255","AGO","Angola",1975,3260.337,3377.291,6637.628,2.5451,5.324,1072.81425140452,0.181390098993195,7.185,38.998,37.468,40.559,1.55170280309622,1.23586801532148,0.64231935376613,1.00279134682484,1.69078755950268
"4314","AGO","Angola",1976,3345.136,3463.597,6808.733,2.621,5.461,953.820548481307,0.131595702166615,7.186,39.324,37.801,40.876,1.12573630567902,1.09878882265142,0.658877083880887,1.00293091416609,1.37966939773046
"4406","AGO","Angola",1977,3434.762,3554.788,6989.55,2.7502,5.606,940.828857406427,0.137920180841399,7.189,39.605,38.096,41.141,1.17983910038643,1.0838225640998,0.676374638517864,1.00334961618981,1.46594335149968
"4420","AGO","Angola",1978,3531.417,3653.027,7184.444,2.9454,5.763,960.20791515433,0.205443872900951,7.194,39.84,38.35,41.355,1.75747097128663,1.10614698569128,0.69523441615724,1.00404745289602,2.13957695680868
